epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.094,1.44235,4.3845,1.52775,0,0,0,0,1.03799,4.29366,1.21797,0.0001092,0.0001092,0.0001092
2,354.07,1.14388,4.08514,1.26074,0.05122,0.16919,0.06949,0.05426,0.89082,4.13514,1.08454,0.00011259,0.00011259,0.00011259
