epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.065,1.44385,4.35331,1.53477,0.04931,0.04721,0.03279,0.02484,1.04237,4.31877,1.22937,0.0001092,0.0001092,0.0001092
2,349.678,1.1855,3.8258,1.28975,0.02458,0.36032,0.12917,0.09628,0.91701,3.94926,1.10145,0.00011259,0.00011259,0.00011259
